motif ic_mean ic_median lib lab_mean lab_median lab
ETS_disc8 1.4907 2 ENCODE 1 1 1
POU2F2_disc2 0.666 0.62 ENCODE 4 4 4
EGR1_disc6 0.7509 0.7403 ENCODE 4 3 4
CHD2_disc3 0.7252 0.5281 ENCODE 4 4 4
HNF4_disc5 1.7196 2 ENCODE 1 1 1
GATA_disc6 1.7694 2 ENCODE 1 1 1
EGR1_disc7 1.3581 1.4685 ENCODE 1 2 2
EP300_disc9 0.517 0.6907 ENCODE 4 4 4
BCL_disc10 0.769 0.8264 ENCODE 4 3 4
SP1_disc3 0.9688 1.0638 ENCODE 3 3 3
ETS_disc9 0.6702 0.626 ENCODE 4 4 4
ZBTB33_disc4 1.716 2 ENCODE 1 1 1
CCNT2_disc2 1.2596 1.4561 ENCODE 2 2 2
YY1_disc5 0.6761 0.6557 ENCODE 4 4 4
E2F_disc8 0.7541 0.661 ENCODE 4 4 4
STAT_disc6 1.6919 2 ENCODE 1 1 1
POU5F1_disc2 1.5216 1.5096 ENCODE 1 2 2
SIN3A_disc7 0.6386 0.6281 ENCODE 4 4 4
STAT_disc7 0.9201 0.634 ENCODE 3 4 4
CEBPB_disc2 1.719 2 ENCODE 1 1 1
ELF1_disc3 0.6025 0.7599 ENCODE 4 3 4
BHLHE40_disc2 0.5239 0.5322 ENCODE 4 4 4
EP300_disc10 1.4957 2 ENCODE 1 1 1
HDAC2_disc6 0.9042 0.9109 ENCODE 3 3 3
MYOD1_1 1.1898 1.1536 ENCODE 2 2 2
TCF3_1 1.0032 0.9042 ENCODE 3 3 3
MYB_1 0.7247 0.4245 ENCODE 4 4 4
TFAP4_1 1.0761 1.029 ENCODE 3 3 3
MYEF2_1 1.6576 2 ENCODE 1 1 1
ELK1_1 1.059 1.1887 ENCODE 3 2 3
SP1_1 0.8903 0.662 ENCODE 3 4 4
RUNX1_1 1.8124 2 ENCODE 1 1 1
ATF1_1 0.9009 0.3461 ENCODE 3 4 4
HOXA5_1 0.6743 0.429 ENCODE 4 4 4
E2F1_1 1.4218 1.2781 ENCODE 1 2 2
ELK1_2 0.7258 0.3946 ENCODE 4 4 4
MEF2A_1 1.159 1.3004 ENCODE 2 2 2
ETS1_1 1.0822 0.8051 ENCODE 3 3 3
EP300_1 0.5347 0.2849 ENCODE 4 4 4
TP53_1 1.6889 2 ENCODE 1 1 1
NFE2_1 1.407 1.4967 ENCODE 1 2 2
CREB1_1 1.5575 1.7836 ENCODE 1 1 1
ATF2_1 1.7397 1.8731 ENCODE 1 1 1
ATF2_3 1.677 1.7846 ENCODE 1 1 1
SOX5_1 1.1104 1.6144 ENCODE 2 1 2
NFIL3_1 1.2832 1.6579 ENCODE 2 1 2
E2F1_2 1.742 2 ENCODE 1 1 1
NFKB1_1 1.6187 1.5936 ENCODE 1 1 1
RELA_1 1.4762 1.7484 ENCODE 1 1 1
REL_1 1.0832 1.4186 ENCODE 3 2 3
NFKB_1 1.3356 1.358 ENCODE 1 2 2
MYCN_1 0.8924 0.6542 ENCODE 3 4 4
NFIC_1 0.8204 0.7012 ENCODE 4 3 4
COMP1_1 0.7303 0.6212 ENCODE 4 4 4
NHLH1_1 0.8605 0.6886 ENCODE 3 4 4
YY1_1 0.483 0.1089 ENCODE 4 4 4
IRF1_1 1.4729 1.7238 ENCODE 1 1 1
IRF2_1 1.6545 2 ENCODE 1 1 1
TAL1_1 0.9236 0.7326 ENCODE 3 3 3
TAL1_2 0.9308 0.7813 ENCODE 3 3 3
NHLH1_2 0.8001 0.8184 ENCODE 4 3 4
YY1_2 0.7864 0.7065 ENCODE 4 3 4
TAL1_3 0.9934 0.9067 ENCODE 3 3 3
TCF3_2 0.8555 0.5633 ENCODE 3 4 4
TFCP2_1 1.2349 1.35 ENCODE 2 2 2
GATA1_1 0.6161 0.168 ENCODE 4 4 4
GATA2_1 0.6363 0.1941 ENCODE 4 4 4
GATA3_1 0.7662 0.3332 ENCODE 4 4 4
RUNX1_2 1.5812 1.8044 ENCODE 1 1 1
RUNX1_3 1.5589 1.6288 ENCODE 1 1 1
RUNX1_4 1.7512 2 ENCODE 1 1 1
RUNX1_5 0.9686 1.0456 ENCODE 3 3 3
RUNX1_6 1.4062 1.7025 ENCODE 1 1 1
MZF1_1 1.148 1.431 ENCODE 2 2 2
MZF1_2 0.7519 0.8005 ENCODE 4 3 4
ZBTB6_1 1.1083 1.0148 ENCODE 2 3 3
IKZF1_1 0.9154 0.4716 ENCODE 3 4 4
IKZF2_1 0.7537 0.3424 ENCODE 4 4 4
IKZF3_1 1.1497 0.9789 ENCODE 2 3 3
CUX1_1 1.468 1.538 ENCODE 1 1 1
PBX1_1 0.9793 1.0456 ENCODE 3 3 3
PAX6_1 0.7216 0.6782 ENCODE 4 4 4
PAX2_1 0.311 0.2475 ENCODE 4 4 4
PRRX2_1 0.7642 0.2683 ENCODE 4 4 4
CUX1_2 0.9814 0.5208 ENCODE 3 4 4
CUX1_3 0.9505 0.9294 ENCODE 3 3 3
CUX1_4 1.1011 1.3216 ENCODE 2 2 2
CUX1_5 1.0382 0.9328 ENCODE 3 3 3
NFE2L2_1 1.389 1.7042 ENCODE 1 1 1
CEBPB_1 0.7643 0.4048 ENCODE 4 4 4
CREB1_2 0.9633 0.8703 ENCODE 3 3 3
CREB1_3 1.0836 1.1657 ENCODE 3 2 3
CREB1_4 1.678 2 ENCODE 1 1 1
CEBPA_1 0.5083 0.2495 ENCODE 4 4 4
CEBPB_2 0.6854 0.347 ENCODE 4 4 4
MYC::MAX_1 1.1188 0.7717 ENCODE 2 3 3
MAX_1 1.0027 0.6835 ENCODE 3 4 4
USF_1 0.9057 0.4102 ENCODE 3 4 4
USF_2 0.6413 0.4203 ENCODE 4 4 4
MYC::MAX_2 0.9382 0.9185 ENCODE 3 3 3
PBX1_2 1.121 1.381 ENCODE 2 2 2
GATA1_2 0.7159 0.2829 ENCODE 4 4 4
GATA1_3 0.8158 0.5351 ENCODE 4 4 4
GATA1_4 0.7925 0.3199 ENCODE 4 4 4
FOXQ1_1 1.2514 1.231 ENCODE 2 2 2
FOXD3_1 0.9811 0.8785 ENCODE 3 3 3
FOXA2_1 0.8876 0.7362 ENCODE 3 3 3
HNF1_1 0.9725 0.8839 ENCODE 3 3 3
CCDC6_1 0.7109 0.7484 ENCODE 4 3 4
HNF4A_1 0.5978 0.3774 ENCODE 4 4 4
POU2F1_1 0.9248 0.4525 ENCODE 3 4 4
POU2F1_2 0.7868 0.8039 ENCODE 4 3 4
POU2F1_3 0.53 0.1123 ENCODE 4 4 4
POU2F1_4 0.45 0.2366 ENCODE 4 4 4
AHR_1 1.1393 1.0453 ENCODE 2 3 3
IKZF1_2 1.1901 1.1546 ENCODE 2 2 2
PAX5_1 0.6958 0.6212 ENCODE 4 4 4
PAX5_2 0.8958 0.829 ENCODE 3 3 3
POU3F2_1 0.8058 0.4974 ENCODE 4 4 4
HSF1_1 0.8233 0.5604 ENCODE 4 4 4
HSF2_1 0.8159 0.6348 ENCODE 4 4 4
SRY_1 0.9803 0.9334 ENCODE 3 3 3
T_1 1.235 1.1198 ENCODE 2 2 2
SRF_1 1.3446 1.6399 ENCODE 1 1 1
NR2F2_1 1.1924 1.1369 ENCODE 2 2 2
RORA_1 1.0579 0.8415 ENCODE 3 3 3
RORA_2 1.3444 2 ENCODE 1 1 1
HNF4_1 1.1374 1.3006 ENCODE 2 2 2
CEBP_1 0.5374 0.3308 ENCODE 4 4 4
SRY_2 0.8329 0.668 ENCODE 4 4 4
POU2F1_5 1.2499 1.0758 ENCODE 2 3 3
POU2F1_6 0.8832 0.6446 ENCODE 3 4 4
AP1_2 0.8947 0.5031 ENCODE 3 4 4
AP1_3 0.9622 0.5162 ENCODE 3 4 4
AP1_4 0.8034 0.6392 ENCODE 4 4 4
TFAP4_2 1.119 0.994 ENCODE 2 3 3
TFAP4_3 1.237 1.2781 ENCODE 2 2 2
CREB1_5 1.0913 0.894 ENCODE 2 3 3
CREB1_6 1.0852 0.8335 ENCODE 2 3 3
ATF2_2 1.2598 1.2115 ENCODE 2 2 2
MYB_2 0.7348 0.3842 ENCODE 4 4 4
MYOD1_2 1.1025 1.1626 ENCODE 2 2 2
NFY_1 1.085 0.594 ENCODE 3 4 4
SRF_2 1.0654 1.0774 ENCODE 3 3 3
USF_3 1.0161 0.682 ENCODE 3 4 4
AP1_5 0.9424 0.7585 ENCODE 3 3 3
TFAP2_1 0.862 0.7336 ENCODE 3 3 3
CEBP_2 0.5082 0.2092 ENCODE 4 4 4
ESR1_1 0.6149 0.2871 ENCODE 4 4 4
NR3C1_1 0.4793 0.1736 ENCODE 4 4 4
NFIC_2 0.5312 0.1377 ENCODE 4 4 4
NFKB_2 1.0353 1.0403 ENCODE 3 3 3
POU2F1_7 0.7151 0.817 ENCODE 4 3 4
SP1_2 0.8973 0.747 ENCODE 3 3 3
AP1_6 1.285 1.4704 ENCODE 2 2 2
CEBP_3 0.8272 0.6499 ENCODE 4 4 4
GATA_1 0.917 0.6333 ENCODE 3 4 4
NR3C1_2 1.1255 1.1318 ENCODE 2 2 2
HNF1_2 1.0207 0.9173 ENCODE 3 3 3
NFKB_3 1.382 1.6768 ENCODE 1 1 1
NFY_2 1.3602 1.6813 ENCODE 1 1 1
POU_1 1.266 1.3911 ENCODE 2 2 2
SEF1_1 1.4789 1.4834 ENCODE 1 2 2
SRF_3 1.0946 1.1533 ENCODE 2 2 2
TBP_1 1.3123 1.3929 ENCODE 2 2 2
USF_4 1.2709 1.4667 ENCODE 2 2 2
SREBF1_1 1.2907 1.4392 ENCODE 2 2 2
SREBF1_2 1.7898 2 ENCODE 1 1 1
HAND1_1 0.7051 0.4095 ENCODE 4 4 4
STAT_1 1.4216 1.4083 ENCODE 1 2 2
STAT1_1 0.9395 0.5542 ENCODE 3 4 4
STAT3_1 1.1019 1.1089 ENCODE 2 2 2
MYEF2_2 0.7707 0.2955 ENCODE 4 4 4
MYEF2_3 0.8427 0.3885 ENCODE 4 4 4
MYEF2_4 1.205 1.2075 ENCODE 2 2 2
AHR::ARNT_1 0.836 0.5376 ENCODE 4 4 4
ARNT_1 0.811 0.3334 ENCODE 4 4 4
AHR::ARNT_2 1.0747 0.9046 ENCODE 3 3 3
NKX2-5_1 1.6106 2 ENCODE 1 1 1
NKX2-5_2 1.5268 1.639 ENCODE 1 1 1
PPARA_1 1.3006 1.2726 ENCODE 2 2 2
EGR1_1 1.455 1.4497 ENCODE 1 2 2
EGR4_1 1.4504 1.6191 ENCODE 1 1 1
EGR3_1 1.4905 1.9321 ENCODE 1 1 1
EGR2_1 1.4245 1.5994 ENCODE 1 1 1
POU2F1_8 1.4302 1.8568 ENCODE 1 1 1
DDIT3::CEBPA_1 0.9513 0.7498 ENCODE 3 3 3
GFI1_1 0.5384 0.142 ENCODE 4 4 4
XBP1_1 0.8023 0.5237 ENCODE 4 4 4
TBP_2 0.6724 0.2852 ENCODE 4 4 4
REST_1 1.4346 1.7777 ENCODE 1 1 1
RREB1_1 1.3095 1.1546 ENCODE 2 2 2
IRF9_1 1.2981 1.6088 ENCODE 2 1 2
HLF_1 1.1837 1.0555 ENCODE 2 3 3
EBF1_1 0.8391 0.6478 ENCODE 4 4 4
RUNX2_1 1.5321 1.5699 ENCODE 1 1 1
TP53_2 0.9644 0.9253 ENCODE 3 3 3
LMO2_1 0.9385 0.6599 ENCODE 3 4 4
LMO2_2 1.0872 0.5769 ENCODE 2 4 4
HERPUD1_1 1.1867 1.2781 ENCODE 2 2 2
RFX1_1 0.7407 0.5264 ENCODE 4 4 4
RFX1_2 0.7268 0.5178 ENCODE 4 4 4
NFE2L1::MAFG_1 0.8066 0.5198 ENCODE 4 4 4
NFE2L1_1 0.6919 0.1114 ENCODE 4 4 4
NFY_3 0.7983 0.4506 ENCODE 4 4 4
FOXI1_1 1.0429 1.0012 ENCODE 3 3 3
FOXF2_1 0.9151 0.4506 ENCODE 3 4 4
FOXC1_1 1.1029 1.0637 ENCODE 2 3 3
FOXD1_1 1.19 1.1537 ENCODE 2 2 2
FOXL1_1 0.8199 0.3419 ENCODE 4 4 4
FOXF1_1 1.0591 1.3038 ENCODE 3 2 3
NFAT_1 0.8695 0.4397 ENCODE 3 4 4
MYC::MAX_3 1.0176 0.8613 ENCODE 3 3 3
REST_2 1.3718 1.35 ENCODE 1 2 2
PAX1_1 1.9198 2 ENCODE 1 1 1
PAX3_1 0.5023 0.1899 ENCODE 4 4 4
PAX8_1 0.3409 0.2712 ENCODE 4 4 4
FOXN1_1 0.8997 0.4137 ENCODE 3 4 4
ZBTB14_1 0.5814 0.5495 ENCODE 4 4 4
ATF1_2 1.1819 1.3757 ENCODE 2 2 2
ETS1_2 0.9184 0.8367 ENCODE 3 3 3
ETS2_1 1.1247 1.0939 ENCODE 2 2 2
GABP_1 1.2842 1.3914 ENCODE 2 2 2
POU2F1_9 1.4905 1.8478 ENCODE 1 1 1
GATA1_5 1.2119 1.3145 ENCODE 2 2 2
PAX3_2 1.2973 1.3806 ENCODE 2 2 2
PAX4_1 0.5035 0.4329 ENCODE 4 4 4
PAX4_2 0.7702 0.639 ENCODE 4 4 4
PAX4_3 0.6165 0.5297 ENCODE 4 4 4
PAX4_4 0.3578 0.2289 ENCODE 4 4 4
MSX1_1 0.549 0.5115 ENCODE 4 4 4
HOXA3_1 0.3999 0.2756 ENCODE 4 4 4
EN1_1 0.729 0.629 ENCODE 4 4 4
MEF2A_2 1.0242 0.82 ENCODE 3 3 3
MYEF2_5 0.9408 0.6437 ENCODE 3 4 4
MYEF2_6 1.432 1.5605 ENCODE 1 1 1
MEF2A_3 1.1197 1.1233 ENCODE 2 2 2
SOX9_1 0.7893 0.557 ENCODE 4 4 4
HNF4A_2 1.1451 1.1003 ENCODE 2 2 2
ZEB1_1 1.0157 0.675 ENCODE 3 4 4
ZEB1_2 0.9636 0.3728 ENCODE 3 4 4
ZEB1_3 1.1645 1.3032 ENCODE 2 2 2
ZEB1_4 1.0954 1.0201 ENCODE 2 3 3
ALX1_1 0.8431 0.668 ENCODE 4 4 4
TGIF1_1 1.2268 1.4564 ENCODE 2 2 2
MEIS1_1 0.8959 0.6169 ENCODE 3 4 4
MEIS1::HOXA9_1 1.326 1.3037 ENCODE 2 2 2
MEIS1::HOXA9_2 1.2807 1.6288 ENCODE 2 1 2
FOXJ2_1 0.7699 0.381 ENCODE 4 4 4
FOXJ2_2 1.107 1.2158 ENCODE 2 2 2
NKX6-1_1 1.2288 1.022 ENCODE 2 3 3
E2F1_3 1.6664 2 ENCODE 1 1 1
E2F1_4 1.3719 1.3708 ENCODE 1 2 2
E2F1_5 1.2782 1.3614 ENCODE 2 2 2
E2F1_6 0.938 1.0215 ENCODE 3 3 3
E2F1_7 1.4579 1.639 ENCODE 1 1 1
E2F1_8 1.0979 1.0533 ENCODE 2 3 3
NKX2-1_1 1.3048 1.2726 ENCODE 2 2 2
HMX3_1 1.8242 2 ENCODE 1 1 1
PDX1_1 1.1352 1.1369 ENCODE 2 2 2
VSX2_1 0.9785 1.1696 ENCODE 3 2 3
VDR_1 0.7845 0.675 ENCODE 4 4 4
SPZ1_1 0.5967 0.3375 ENCODE 4 4 4
AR_1 1.1789 1.1369 ENCODE 2 2 2
ZIC1_1 0.6314 0.6247 ENCODE 4 4 4
ZIC2_1 0.613 0.6596 ENCODE 4 4 4
ZIC3_1 0.6656 0.507 ENCODE 4 4 4
NKX3-1_1 1.0629 1.0969 ENCODE 3 2 3
IRF7_1 0.7631 0.6404 ENCODE 4 4 4
ARID5B_1 0.9337 0.6454 ENCODE 3 4 4
BPTF_1 0.5713 0.4699 ENCODE 4 4 4
STAT5A_1 0.9954 0.7739 ENCODE 3 3 3
STAT5B_1 1.0669 0.9132 ENCODE 3 3 3
STAT5A_2 0.6491 0.3911 ENCODE 4 4 4
GATA6_1 0.6966 0.1863 ENCODE 4 4 4
POU3F2_2 1.527 1.5773 ENCODE 1 1 1
POU3F2_3 1.8423 2 ENCODE 1 1 1
POU6F1_1 1.3883 1.3038 ENCODE 1 2 2
HIF1A_1 1.0809 0.682 ENCODE 3 4 4
ZNF423_1 1.7521 2 ENCODE 1 1 1
KLF12_1 0.7681 0.6907 ENCODE 4 4 4
TFAP2A_1 0.868 0.401 ENCODE 3 4 4
TFAP2C_1 0.9452 0.5216 ENCODE 3 4 4
TBP_3 1.2244 1.0306 ENCODE 2 3 3
FOXO4_1 0.9791 0.8908 ENCODE 3 3 3
FOXO1_1 1.0673 0.9158 ENCODE 3 3 3
FOXO1_2 1.1051 1.4117 ENCODE 2 2 2
FOXO4_2 1.143 1.3628 ENCODE 2 2 2
FOXO3_1 1.1707 1.3849 ENCODE 2 2 2
CDC5L_1 1.0571 1.0781 ENCODE 3 3 3
TOPORS_1 1.8517 2 ENCODE 1 1 1
AR_2 0.966 0.792 ENCODE 3 3 3
PITX2_1 1.1382 1.2358 ENCODE 2 2 2
ATF6_1 1.8828 2 ENCODE 1 1 1
TLX2_1 0.4727 0.3213 ENCODE 4 4 4
NKX2-2_1 1.4387 1.6144 ENCODE 1 1 1
PAX2_2 0.7116 0.1621 ENCODE 4 4 4
NKX6-2_1 0.8395 0.5862 ENCODE 4 4 4
BACH2_1 1.0831 1.3781 ENCODE 3 2 3
PATZ1_1 1.0949 0.9298 ENCODE 2 3 3
STAT1_2 0.9689 1.0476 ENCODE 3 3 3
STAT5A_3 0.6786 0.4331 ENCODE 4 4 4
STAT6_1 0.632 0.345 ENCODE 4 4 4
BACH1_1 1.1496 1.0548 ENCODE 2 3 3
STAT1_3 0.6741 0.3771 ENCODE 4 4 4
STAT3_2 0.6308 0.5476 ENCODE 4 4 4
STAT4_1 0.8459 0.5376 ENCODE 3 4 4
STAT5A_4 0.8344 0.4135 ENCODE 4 4 4
STAT6_2 0.9158 0.5346 ENCODE 3 4 4
LHX3_1 1.3835 1.456 ENCODE 1 2 2
ESRRA_1 0.8412 0.5257 ENCODE 4 4 4
PPARG_1 1.2241 1.8169 ENCODE 2 1 2
ATF3_1 1.1252 1.2061 ENCODE 2 2 2
ATF4_1 1.1431 1.1093 ENCODE 2 2 2
PPARG_2 1.2314 1.2358 ENCODE 2 2 2
E2F1_9 1.0375 1.0148 ENCODE 3 3 3
AP1_7 0.7468 0.6101 ENCODE 4 4 4
PPARA_2 1.0177 0.6876 ENCODE 3 4 4
NR6A1_1 1.2095 1.4046 ENCODE 2 2 2
PPARA_3 0.9554 0.9785 ENCODE 3 3 3
ELF2_1 1.0873 0.6446 ENCODE 2 4 4
ZBTB18_1 1.3787 1.7861 ENCODE 1 1 1
XBP1_2 0.6657 0.4468 ENCODE 4 4 4
ARNT_2 0.7502 0.237 ENCODE 4 4 4
MYC::MAX_4 0.6546 0.086 ENCODE 4 4 4
AFP_1 1.4953 1.2781 ENCODE 1 2 2
ALX4_1 2 2 ENCODE 1 1 1
CEBPD_1 0.9665 0.6613 ENCODE 3 4 4
CEBPG_1 1.0854 1.1369 ENCODE 2 2 2
CRX_1 0.7054 0.5395 ENCODE 4 4 4
DBP_1 1.1817 1.1634 ENCODE 2 2 2
RFX1_3 1.0413 1.0817 ENCODE 3 3 3
FOXM1_1 1.1609 1.2781 ENCODE 2 2 2
NR1H4_1 1.3524 1.35 ENCODE 1 2 2
GATA4_1 1.0858 0.994 ENCODE 2 3 3
GCM_1 1.1242 1.1297 ENCODE 2 2 2
HNF4A_3 1.0629 1.006 ENCODE 3 3 3
ONECUT1_1 1.2606 1.3591 ENCODE 2 2 2
HOXA4_1 1.2589 1.2158 ENCODE 2 2 2
HSF1_2 1.565 2 ENCODE 1 1 1
TFCP2_2 1.5623 2 ENCODE 1 1 1
ITGB2_1 1.4124 1.35 ENCODE 1 2 2
NR1H_1 1.1731 1.0944 ENCODE 2 2 2
MAF_1 1.3304 1.1536 ENCODE 1 2 2
MAZ_1 1.5366 1.5862 ENCODE 1 1 1
MTF1_1 1.1963 1.0712 ENCODE 2 3 3
YY1_3 1.7069 2 ENCODE 1 1 1
NRF1_1 1.7044 2 ENCODE 1 1 1
ETV4_1 1.5105 1.531 ENCODE 1 1 1
PTF1A_1 1.25 1.1369 ENCODE 2 2 2
SPI1_1 1.3766 1.3294 ENCODE 1 2 2
SP3_1 1.1147 1.0817 ENCODE 2 3 3
TCF7L2_1 1.4727 1.675 ENCODE 1 1 1
TEF_1 1.2711 1.2781 ENCODE 2 2 2
ETV7_1 1.7034 2 ENCODE 1 1 1
NFY_4 1.6835 2 ENCODE 1 1 1
AP3_1 1.127 0.8826 ENCODE 2 3 3
ATF1_3 1.3379 1.4967 ENCODE 1 2 2
TCF3_3 1.1813 0.9042 ENCODE 2 3 3
E4F1_1 1.5341 1.639 ENCODE 1 1 1
TEAD2_1 1.4046 1.3806 ENCODE 1 2 2
TCF12_1 1.7573 2 ENCODE 1 1 1
IRF8_1 1.4816 1.4083 ENCODE 1 2 2
SMAD3_1 1.3981 1.4967 ENCODE 1 2 2
TEAD1_1 1.6763 2 ENCODE 1 1 1
GTF2I_1 1.4103 1.2781 ENCODE 1 2 2
GTF2A_1 1.1154 1.029 ENCODE 2 3 3
MYOG_1 1.4597 1.7484 ENCODE 1 1 1
ZBTB14_2 0.8519 0.8747 ENCODE 3 3 3
PAX8_2 0.3234 0.1782 ENCODE 4 4 4
CACBP_1 1.4276 1.1369 ENCODE 1 2 2
CACD_1 1.1224 1.2726 ENCODE 2 2 2
RUNX2_2 1.508 1.4967 ENCODE 1 2 2
FOXA1_1 1.0011 0.8752 ENCODE 3 3 3
CBX5_1 1.3001 1.35 ENCODE 2 2 2
USF2_1 1.5136 2 ENCODE 1 1 1
NR5A1_1 1.6683 2 ENCODE 1 1 1
CDX2_1 0.982 1.0476 ENCODE 3 3 3
RUNX2_3 1.4375 1.639 ENCODE 1 1 1
SMAD4_1 0.9406 0.8432 ENCODE 3 3 3
ZNF384_1 1.2809 2 ENCODE 2 1 2
E2F1_10 1.3485 1.2827 ENCODE 1 2 2
E2F1_11 1.4836 1.4681 ENCODE 1 2 2
E2F4_1 1.6859 1.7767 ENCODE 1 1 1
E2F4_2 1.5018 1.4639 ENCODE 1 2 2
E2F1_12 1.6358 1.6735 ENCODE 1 1 1
FOXJ1_1 1.3805 1.6726 ENCODE 1 1 1
POU1F1_1 1.2009 1.074 ENCODE 2 3 3
ELF1_1 1.2042 1.0228 ENCODE 2 3 3
IRF1_2 1.5714 1.6466 ENCODE 1 1 1
SREBF1_3 1.6987 2 ENCODE 1 1 1
HMGA1_1 1.2865 1.3806 ENCODE 2 2 2
RUNX1_7 1.9161 2 ENCODE 1 1 1
TP53_3 0.7658 0.6368 ENCODE 4 4 4
HNF4_2 0.7718 0.7796 ENCODE 4 3 4
PPARA_4 0.8495 0.9025 ENCODE 3 3 3
HNF4_3 1.0481 1.2207 ENCODE 3 2 3
HNF4_4 1.3904 1.4967 ENCODE 1 2 2
NR1H_2 1.2806 1.4564 ENCODE 2 2 2
NR1H4_2 1.4347 1.4083 ENCODE 1 2 2
RUNX_1 0.8697 0.4548 ENCODE 3 4 4
CEBP_4 0.5346 0.184 ENCODE 4 4 4
ETS_1 0.891 0.7106 ENCODE 3 3 3
IRF_1 0.9286 0.5239 ENCODE 3 4 4
MYB_3 0.698 0.4349 ENCODE 4 4 4
NFKB_4 0.7407 0.8634 ENCODE 4 3 4
NFY_5 0.8824 0.5305 ENCODE 3 4 4
SREBF_1 1.0997 1.1101 ENCODE 2 2 2
STAT_2 0.795 0.7132 ENCODE 4 3 4
AHR_2 1.0308 0.68 ENCODE 3 4 4
GATA_2 1.1756 1.2297 ENCODE 2 2 2
HNF1_3 0.6182 0.3965 ENCODE 4 4 4
FOXA_1 0.7408 0.5856 ENCODE 4 4 4
SMAD_1 0.7301 0.4454 ENCODE 4 4 4
YY1_4 0.9906 0.9324 ENCODE 3 3 3
NKX2-1_2 0.6196 0.2509 ENCODE 4 4 4
POU_2 0.8866 0.9048 ENCODE 3 3 3
USF_5 0.8172 0.7224 ENCODE 4 3 4
HIF1A_2 0.9156 0.4834 ENCODE 3 4 4
MYC_1 1.5174 1.7238 ENCODE 1 1 1
TFAP2_2 0.7292 0.6188 ENCODE 4 4 4
CREB1_7 1.3758 1.6156 ENCODE 1 1 1
POU1F1_2 0.7357 0.6656 ENCODE 4 4 4
E2F1_13 1.3865 1.3226 ENCODE 1 2 2
TCF3_4 0.8524 0.7327 ENCODE 3 3 3
LEF1_1 1.638 1.6903 ENCODE 1 1 1
NFIC_3 0.5071 0.1498 ENCODE 4 4 4
EGR_1 1.0848 0.7756 ENCODE 3 3 3
PAX_1 1.0803 1.1158 ENCODE 3 2 3
FOX_1 1.1021 1.1095 ENCODE 2 2 2
SRF_4 0.8604 0.8606 ENCODE 3 3 3
NFE2L2_2 1.0484 0.8432 ENCODE 3 3 3
CEBP_5 0.6583 0.2965 ENCODE 4 4 4
MYB_4 0.7352 0.3847 ENCODE 4 4 4
TFAP2_3 0.7723 0.5409 ENCODE 4 4 4
CREB1_8 0.8179 0.3482 ENCODE 4 4 4
CREB1_9 0.9975 0.8009 ENCODE 3 3 3
E2F1_14 1.2419 1.029 ENCODE 2 3 3
E2F1_15 1.047 1.0371 ENCODE 3 3 3
E2F1_16 0.9847 0.8378 ENCODE 3 3 3
NR3C1_3 1.0065 1.1022 ENCODE 3 2 3
SRF_5 0.9534 0.853 ENCODE 3 3 3
AP1_8 0.7166 0.3671 ENCODE 4 4 4
AP1_9 0.8881 0.704 ENCODE 3 3 3
AP1_10 0.9939 0.7356 ENCODE 3 3 3
TFAP4_4 1.0943 0.8512 ENCODE 2 3 3
MYOD1_3 0.6742 0.2562 ENCODE 4 4 4
POU2F1_10 0.888 0.9783 ENCODE 3 3 3
SP1_3 1.0637 1.0476 ENCODE 3 3 3
SP1_4 0.8265 0.5748 ENCODE 4 4 4
SP1_5 1.0671 0.9799 ENCODE 3 3 3
NFAT_2 0.9881 0.8607 ENCODE 3 3 3
E2F1_17 0.8211 0.6843 ENCODE 4 4 4
E2F1_18 1.2452 1.1415 ENCODE 2 2 2
E2F1_19 1.0878 1.0935 ENCODE 2 2 2
MYEF2_7 1.1639 1.1095 ENCODE 2 2 2
TFCP2_3 0.8054 0.6162 ENCODE 4 4 4
AR_3 0.7509 0.2837 ENCODE 4 4 4
PGR_1 0.6067 0.1695 ENCODE 4 4 4
NR3C1_4 0.5717 0.1718 ENCODE 4 4 4
AR_4 0.6972 0.2006 ENCODE 4 4 4
PGR_2 0.6241 0.1716 ENCODE 4 4 4
ESR1_2 0.9044 0.9527 ENCODE 3 3 3
NR3C1_5 0.9579 0.6462 ENCODE 3 4 4
VDR_2 0.586 0.5997 ENCODE 4 4 4
AR_5 0.7262 0.7744 ENCODE 4 3 4
RAR_1 0.8339 0.5635 ENCODE 4 4 4
NR1H4_3 0.7887 0.6711 ENCODE 4 4 4
NR1H_3 0.7022 0.7892 ENCODE 4 3 4
VDR_3 0.7829 0.8019 ENCODE 4 3 4
HNF4_5 0.8344 0.8735 ENCODE 4 3 4
ETS_2 1.1019 0.974 ENCODE 2 3 3
IRF_2 1.1312 1.3184 ENCODE 2 2 2
TCF3_5 1.3477 1.8666 ENCODE 1 1 1
SMAD_2 0.9088 0.4562 ENCODE 3 4 4
RFX1_4 1.0255 0.8432 ENCODE 3 3 3
AHR::ARNT::HIF1A_1 1.0634 1.0161 ENCODE 3 3 3
EBF1_2 1.4066 1.2781 ENCODE 1 2 2
LEF1_2 1.1143 1.0817 ENCODE 2 3 3
PAX6_2 1.3194 1.3001 ENCODE 2 2 2
TBP_4 1.1479 1.1524 ENCODE 2 2 2
CREB_1 1.1549 1.3147 ENCODE 2 2 2
EGR_2 1.0013 0.7757 ENCODE 3 3 3
MAF_2 0.8383 0.8503 ENCODE 4 3 4
